xʷiʔ kʷi dsəshaydxʷ kʷi sʔas kʷi ʔəsx̌əɬ.,I didn't know anyone was sick.,
tadiʔ ʔal tadiʔ ti sʔas.,It's way over there.,
ʔaləxʷ cəbdat kʷi sʔas.,Two days he was there.,
buus sɬukʷalb tiʔiɬ sʔas.,For four months he was there.,
haʔkʷ dəč'aʔilc sɬukʷalb tiʔiɬ sʔas.,He was there one month long.,
tulʼʔal kʷi tushuy ʔə tiʔəʔ swatixʷtəd sʔas ʔəsɬaɬlil.,Since the making of this world she has lived there.,
xʷəbaliǰbidəxʷ ʔal ʔəbids ʔə ti.,she threw it on her back to (this) part of her right here.,
xʷiʔəxʷ tiʔəʔ diʔəʔ stubš dxʷʔal kʷi gʷəsʔas.,No man was there.,
xʷiʔaxʷ gʷəsʔas.,He was not there.,
ƛ'alʼ bəʔa ʔal kʷidayɬ,It was there too at Quinault.,
xʷiʔ gʷəsəshaydxʷs gʷəʔahas tiʔəʔ qʼilʼbids tiʔəʔ diʔəʔ hudalgʷiɬ.,"She did not know if her boat, this steamboat, was there.",
p̕aƛ'aƛ' gʷəʔahas kʷi ʔəsčal ɬuhuy,No matter what happens there,
ʔuptidgʷasəb gʷəʔahas ʔəsčal gʷəshuy ʔə tiʔiɬ sč'istxʷs.,She thought that something was happening to her husband.,
dəxʷʔahəxʷ kʷi sɬčils dxʷʔal tiʔiɬ dəxʷʔa ʔə tiʔiɬ yəlʼyəlabs.,From there he arrived at his parents--.,
dəxʷʔa čəɬ,at our place,
čad kʷi dəxʷʔaləp,where you folks are,
ɬaqʼad ʔal tiʔəʔ dəxʷʔa ʔə tiʔəʔ sx̌aʔx̌aʔx̌aʔs,It was set down where the in-laws were.,
ləkiis dxʷʔal kʷi ƛ'ədəxʷʔas,He stood right there.,
gʷəsčaləs tiʔiɬ dəxʷʔas ʔal tiʔiɬ,what he was doing there,
ʔal kʷədiʔ ƛ'ədəxʷʔas,where he should be,
dxʷʔal kʷədiʔ cədiɬ ƛ'ədəxʷʔas,(went) over there where he customarily would be,
diɬ dəxʷəxʷʔaʔəb,This then was how (the custom) was.,
ɬčiltubəxʷ dxʷʔa.,He was brought to there.,
yəx̌i tuɬalil kʷi ship dxʷʔa.,Because the ship docked there.,
kʼʷid kʷədiʔ səsʔahačiʔs.,How many did they put their hands on?,
ʔuyəwʼyəwʼdəb ʔə tiʔiɬ sʔaʔabš,The people of that area sang spirit songs.,
x̌ʷulʼəxʷ ʔəsʔaʔəyʼil.,He was just a little bit there.,
ʔaciɬ ʔaʔs əlgʷəʔ.,Just wait for them.,
dəsx̌aƛ' kʷi gʷədsəsʔaʔsil dxʷʔal kʷi t'at'gʷət.,I want to wait until noon.,
čəda ʔəsʔaʔsildxʷ dxʷʔal dəgʷi,and I have had her wait for you,
ʔəsʔaʔsəb čəxʷ ʔə ti adscapa.,Your grandfather is waiting for you.,
ʔəsʔaʔsəbitəb čəxʷ ʔə ti adscapa.,Your grandfather is waiting for you (so you two can do it).,
"ƛ'uʔatub tiʔəʔ gʷəɬ sqigʷəc, gʷəl ƛ'uʔaač'.",They have these of the deer and they (no gloss).,
ƛ'uʔaač' tiʔəʔ gʷəɬ sqigʷəc bəkʼʷ.,"They (no gloss) these of the deer, all.",
təsəsʔabadəbs,what had been given to him,
ʔabcutəxʷ dxʷʔal kʷi gʷəscaqʼatəbs.,It extended itself so they could spear it.,
ʔabyid,Give it to him.,
ʔabšic,Give it to me.,
ʔuʔabyicid čəd ʔə tə talə.,I gave you the money.,
ʔəsšudxʷ čəd ti ƛ'uiqs ʔə tiʔəʔ adsʔabyid ti studəq.,I see the box you gave the slave.,
ʔabyitəb ʔə kʷədiʔ stab suc̕uqʷutəbs tulʼʔal tiʔəʔ cədiɬ stab sʔuladxʷ.,He was given something from a salmon to suck on.,
haʔɬ čəxʷ ʔuʔabyitubuɬ ʔə tiʔiɬ qəluʔb ʔə sbiaw.,It would be nice (for) you to give us Coyote's eyes.,
ƛ'ub x̌ʷulʼ čələp ʔuʔabyib.,It is best that you folks just give (it to them).,
xʷiʔ gʷəsʔabyiti gʷəsqəlikʷ.,She was not (even) given a blanket.,
xʷiʔ gʷəstab gʷəsʔabyiti ʔə tsiʔiɬ skʼʷuys.,Her mother did not give her anything.,
x̌ʷulʼ gʷadʔabalc kʷi gʷadshudabac.,You just could give that you could burn (my) body.,
x̌ʷulʼ čəxʷ gʷuʔabalc čxʷa gʷəč'axʷacəxʷ.,That would be your lucky day that you could beat me with a club.,
ƛ'ub čəd ɬuʔabaqcid.,I should return you.,
ʔal tiʔəʔ ʔuʔabaqtəb čəɬ,when we were returned,
dayʼ čələp ɬuʔabaqtəb,You folks will indeed be returned.,
ɬuʔabaqtubuɬəd,He will return you folks.,
tuasʔabgʷas.,They had gone back and forth (made several trips).,
gʷəl ʔuʔabgʷasəxʷ əlgʷəʔ ʔal tiʔəʔ qʼxʷabac ʔal tiʔəʔ stkʷab.,"And they brought them piece by piece to the upriver side of the bend, to the falls.",
ʔuqʷictxʷ əlgʷəʔ tə stabs əlgʷəʔ sʔabgʷass əlgʷəʔ.,They brought their things down stream by making several trips.,
ɬuləʔabʔabgʷasəd.,He will make several trips (taking this game home).,
ʔabucdid čəd,"I take him his lunch, dinner.",
sʔacigʷəds,his insides,
sʔacigʷəd ʔə tiʔəʔ diʔəʔ st'əx̌ʷšəd,center of the root,
tuʔacigʷədil čəd.,I was inside (the whale).,
"ʔəsqʷat ʔal tiʔiɬ ʔacyaqid ʔə tiʔiɬ sbadil, gʷəl ʔaʔ.","Laying at the top of that mountain, and she was there.",
ʔacəc uʔxʷ ʔu.,Is it still there?,
ʔacəc tiʔiɬ tux̌aƛ'ildəgʷəl tulʼʔal tiʔiɬ tuswiwʼsus əlgʷəʔ.,There was a couple who loved each other from childhood.,
dayʼəxʷ tuasqʷaqʷtxʷ tiʔiɬ tuʔacəc.,That was all that was left right there on that spot.,
dayʼəxʷ tuasqʷaqʷttxʷ kʷsi ʔacəc,This right there was all she had lying (there).,
ʔaciɬ čəd ɬuqaʔqʷ.,I'll rest.,
ʔaciɬ čəd ʔuc̕əgʷulč.,I'll wash the dishes first (before I leave).,
ʔaciɬ ʔugʷəƛ'əlad tə spaʔc gʷəl ʔuqʷuʔqʷaʔ.,The bear stopped and drank.,
ʔaciɬ ʔaciɬ gʷəƛ'əlad.,"Wait, wait, stop!",
ʔiɬlaq ʔaciɬtalbixʷ,later generations,
tiʔiɬ ʔaciɬtalbixʷ ʔə diɬiɬ adqʼʷuʔax̌ad,your neighbors,
tudiʔ ʔaciɬtalbixʷ ʔəsɬaɬlil,those people who lived over there,
tiʔəʔ diʔəʔ t'ədax̌ads əlgʷəʔ ʔaciɬtalbixʷ,the neighbors,
ʔəsšəqəd čəxʷ tiʔəʔ adsixʷʔaciɬtalbixʷ,You elevate your fellow Indian.,
dxʷʔal ʔadad,"pertaining to, concerning",
ʔadᶻəlus x̌ičəc,bright red,
xʷiʔ ləʔadᶻaləqəp ʔu dxʷʔal dəgʷi.,It didn't have a good flavor to you?,
ʔuʔadᶻqdxʷ čəd ti John.,I met John.,
dayʼ čəd ɬuʔadᶻqdubicid.,I'll meet you later.,
ʔəxʷsʔaʔədᶻəqbidəb čəd tsi skʼʷuy ʔal stqačiʔ.,I have to meet my mother at eight.,
dayʼ čəɬ ɬuʔaʔdᶻəqdubut.,We will meet later.,
ʔuʔagəqəxʷ tsiʔəʔ x̌ʷuʔx̌ʷəyʔ.,Little Diver groaned.,
huy čəxʷ ʔahaykʷ.,you drift with the current,
ʔal ʔalʔal ʔu kʷi adsč'istxʷ.,Is your husband home?,
ɬuqəɬc čəxʷ ʔal kʷi ɬuʔɬp təqačiʔ.,Wake me up tomorrow at eight.,
ʔal sbuus.,4 o'clock,
ʔal čəxʷ,you are at,
ʔal tiʔəʔ diʔəʔ,at this (place),
gʷəl ƛ'udxʷp̕əqʼʷ tiʔəʔ stuləkʷ ʔə tiʔəʔ sqʼaxʷ dxʷʔal tiʔiɬ səshuy ʔə tiʔiɬ stububš,And the river would be afloat with ice because that is (the way) those men were made.,
yəx̌i ƛ'udxʷʔa kʷi ƛ'əsubibəč ti ʔal tiʔəʔ luƛ' čxʷluʔ.,Because there (is where) the old whale would drop in.,
xʷiʔ ləʔal kʷi sləx̌il,it was not the day (that),
haʔkʷ ʔal tiʔiɬ dəxʷʔas əlgʷəʔ,it was a long time when they were there,
ʔal kʷədiʔ tuhaʔkʷ,a long time ago,
ʔal tiʔəʔ səɬax̌il,this evening,
ʔal kʷi dukʷəɬdat,tomorrow,
ʔal tiʔiɬ,in there,
tupigʷədəxʷ ʔal tiʔiɬ,He sang his spirit power.,
čəda ɬuʔal tə ʔa,And I will be over there.,
tuʔal dadatu,was in the morning,
ʔald x̌əkʼʷəd,put them on roasting sticks,
ɬuʔalcut čəd swətixʷtəd,I'll put myself in a tree,
ʔalcutəxʷ swətixʷtəd.,She put herself in a tree.,
gʷəl ʔalil,and it was the time when,
ʔalil tiʔiɬ gʷəsx̌aƛ'txʷs əlgʷəʔ,in time they wanted to,
tux̌ʷ yawʼ ɬuʔalil kʷi sləx̌il,it will not be until the day that,
huy ʔaliləxʷ tiʔəʔ x̌aʔx̌alus.,Then they got to (turned their attention to) the raccoons.,
ʔalil tiʔəʔ gʷəɬ x̌aʔx̌alus.,when it comes to these of the raccoons.,
ləʔalil diʔiʔəxʷ,He ended up way over there.,
ʔalil tiʔəʔ x̌aləƛ'iqadis,came to a clearing,
ʔaliləxʷ čəd tiʔəʔ sčətxʷəd,Now I am considering Bear,
ʔalalustubs əlgʷəʔ,(what) happened to them,
ʔux̌ʷ čəd dxʷʔal skuwəl,I'm going to school.,
dxʷʔal tə stuləkʷ kʷi ɬustəlawil čəɬ,Let's run to the river.,
dxʷʔal kʷsnaʔ ʔə kʷə mans ʔi tə mənaʔs ʔi tə sanctus pli. ƛ'um ʔəsʔistə,"In the name of the Father, and of the Son, and the Holy Spirit. Amen.",
ɬuasʔaʔsil čəd dxʷʔal kʷi ɬuadsɬčil,I'll wait until you arrive.,
ʔuhuydxʷ čəd dxʷʔal tiʔiɬ gʷədəxʷb̌əqʼəds,I entreated him until he swallowed it (a pill).,
ʔux̌ʷaqʼʷigʷəd čəd dxʷʔal ti spapstəd čəɬ,I'm worried about our young white boy.,
ʔudxʷidawligʷəd čəd dxʷʔal tiʔiɬ tə qʼilʼbid,I'm worried about the car.,
tup̕aacut čəd dxʷʔal gʷədst'ičib,I tried to swim.,
tup̕aacut čəd dxʷʔal gʷədsgʷadəgʷəd,I tried to talk.,
tup̕aacut čəd dxʷʔal gʷədsəslax̌dxʷ,I'm trying to think of it.,
ʔudxʷʔəqʼʷəyax̌adid tə šəgʷɬ dxʷʔal ʔəca,He opened the door for me.,
ʔəsčəwat čəd dxʷʔal kʷi gʷədsut'ilib,I know how to sing.,
xʷiʔ gʷəsəčəwaʔtil əlgʷəʔ dxʷʔal kʷi gʷəsʔuqqaǰətəb əlgʷəʔ,They will never learn to speak Skagit.,
ʔuʔabš čəd tiʔiɬ stuligʷəd dxʷʔal tiʔiɬ ʔugʷiid tiʔiɬ stuligʷəd,I gave the blood they asked for.,
ʔuč'itəlusbid tsi dskʼʷuy dxʷʔal tiʔiɬ sʔax̌ʷuʔ,My mother was surprised about the clams.,
ʔiɬqʷiqʼʷ čəd dxʷʔal dəgʷi,I am stronger than you.,
dxʷʔal tiʔiɬ cədiɬ tədəxʷʔas,at where they were (from),
dxʷʔal haʔkʷ,for a long time,
dxʷʔal kʷədiʔ tukʼʷidəɬdat,for many days,
šuɬ dxʷʔal tiʔiɬ ʔəshədʔiwʼ,He looked inside.,
dxʷʔal ti səʔəƛ's səč'itils,as he came near,
dxʷʔal gʷəlapu,with regard to you folks,
dxʷʔal ʔadad,pertaining to,
dxʷʔal gʷəl,"and, and next",
dxʷʔal tiʔaʔ,right here,
dxʷʔal tiʔəʔ šəq,above,
dxʷʔal ti sləx̌iləs,all that day,
dxʷʔal tiʔəʔ diʔəʔ,at this place; there,
diɬəxʷ səʔəƛ's dxʷʔal kʷi bəst'silsəxʷ.,Cold weather is coming.,
gʷəl ləkiis dxʷʔal kʷi ƛ'ədəxʷʔas tiʔəʔ st'əs.,"And he stood right there, this cold one.",
dxʷʔal kʷi gʷəsɬiɬič's,by cutting (it) up into little pieces,
tuʔibəšəxʷ ʔal tiʔiɬ lil swatixʷtəd dxʷʔal tusʔibəšs dxʷʔal tusɬčils dxʷʔal tiʔəʔ dᶻixʷ tədəxʷɬčils.,He walked far in that land (until) he (had) walked until he arrived at this first place where he arrived.,
tiʔiɬ tədəxʷɬalildubs əlgʷəʔ dxʷʔal tiʔiɬ caadiɬ.,That is how they (came to be) put ashore at those (people of their own village).,
ləqʼil čəd liɬʔal ti lilud,I came by means of the train.,
ɬutulil liɬʔal x̌ʷ̌əlč dxʷʔal Alaska,She is going to Alaska by sea.,
ləst'agʷt čəd liɬʔal tə stiqiw,I'm riding the horse.,
ʔucɬil liɬʔal tə qədxʷs,bleeding through his mouth,
ʔə kʷi sugʷəč'əbs əlgʷəʔ liɬʔal ti stuləkʷ,when they searched along the river,
tulʼʔal čəd dᶻidᶻəlalʼič,I'm from Seattle.,
tulʼʔal čəd sqaǰit,I'm from Skagit.,
tulilc tulʼʔal kʷi b̌əkʼʷ tucəxʷəshiwil,He took me away from all I used to get into.,
ʔubapədəxʷ čəd tulʼʔal ti syayus,I bothered him from his work.,
tulʼʔal kʷi tuadslilc tulʼʔal kʷi bəkʼʷ tucəxʷəshiwil,You took me away from all I used to get into.,
ʔiɬhaʔɬ tulʼʔal kʷi xʷiʔ,It's better than nothing.,
buusəɬdat tulʼʔal ti tudsʔ̌əɬəd,I haven't eaten for four days.,
ʔiɬluƛ' čəxʷ tulʼʔal ʔəca,You are older than I.,
ʔiɬqa tə adyiqʼus tulʼʔal tə dsgʷaʔ dyiqʼus,You have more cedar-root baskets than I have.,
ʔiɬhaac tiʔiɬ adqʼilʼbid tulʼʔal tiʔəʔ dqʼilʼbid,Your canoe is longer than mine.,
ʔiɬx̌əb tiʔiɬ w̌əqʼəb ʔal tudiʔ tulʼʔal tiʔəʔ w̌əqʼəb ʔal tiʔəʔ,That chest over there is heavier than this chest right here.,
tulʼʔal gʷəcutəxʷ,For that reason he said,
"gʷəl ʔəstɬildxʷ čəd tulʼʔal bəkʼʷ dx̌əč, tulʼʔal bəkʼʷ dsc̕aliʔ dxʷʔal tiʔəʔ sləx̌iləxʷ","Therefore I believe it with (from) all my thought, from all my heart unto this day (now).",
ʔəsʔalʔələb,He's making a home.,
absʔalʔaləxʷ ʔə tiʔəʔ x̌awʼs.,They now had a house that was new.,
ckʼʷaqid čəɬ tuʔuʔəƛ' dxʷdiʔaʔ tulʼʔal tiʔiɬ tudxʷʔalʔaltəd ʔə tsi cədiɬ tudkiyaʔ ʔal kʷədiʔ ʔal x̌ʷəlč.,We used to always come here from the homeland of my grandmother from the salt water.,
tuʔalacut čəxʷ ʔu siʔab čxʷa tukʷəddxʷ tiʔəʔ adsqʷiqʼʷ,"Did you go out (alone), honored one, to get your strength?",
xʷiʔəs gʷətudsƛ'aʔalqəb čəda tusaxʷəbid tsi luƛ' čəda tup̕aɬabacyid ʔə tiʔiɬ səsʔaladᶻtəgʷis tiʔiɬ č'ač'as.,if it had not been for my wondering and had I not run after the old lady and searched the child she was babysitting,
stab tiʔiɬ adsəsʔəladᶻiʔɬ,What is that you are taking care of?,
ɬustabəxʷ kʷi ɬudsʔəladᶻiʔɬəd.,What will I have to babysit him?,
tuabsʔəladᶻɬ̌əd kʼʷəɬ kʷsi kʼʷuyəʔ ʔə kʷsi tuluƛ'.,"My mother, they say, had an old woman for a babysitter.",
gʷəl xʷiʔ kʷi gʷat ʔəsʔaladᶻiʔlid,and she didn't have a babysitter,
ɬustabəxʷ kʷi ɬuasʔəladᶻiʔlyic.,What will babysit for me?,
diɬ ʔalalus tiʔiɬ.,That is what happened.,
diɬ ɬuadʔalalus.,That is what is going to happen to you.,
diɬ tuʔalalus tiʔiɬ.,That is how it happened.,
diɬ tuʔalalustxʷ.,That us how he was treated.,
diɬ tuʔalalustubš.,That is how he treated me.,
sʔalalustubs əlgʷəʔ,(what) happened to them,
gʷatəxʷ kʷi ɬugʷaʔgʷətubuɬəxʷ dxʷʔal ʔadad tiʔiɬ tuʔalalus ʔə kʷi tusiʔiʔab tuʔiišəd čəɬ.,Then who will teach us of the customs and traditions of our noble people?,
ʔəxʷsʔalbiwʼəb čəd ʔə tə adsgʷaʔ,I want to borrow yours.,
gʷəʔalbiwʼ čəɬ tiʔiɬ.,We could have him go to the in-laws.,
ʔalqʼʷ tiʔəʔ adsəsgʷədil.,You are sitting in the back.,
dʔalqʼʷbid,behind me,
ɬukʷədacid čəd ʔal ti dʔaləqʼʷbid.,I'll take you from behind me.,
dəʔalqʼʷbid tiʔəʔ adsəsgʷədil.,You are sitting behind me.,
ʔalqʼʷbid ʔə ti adbədaʔ,on the side of your son away from the center,
ləli ʔu ʔə tsi adʔalš tsi ʔucutcut.,Isn't that your sister who is speaking?,
čadəxʷ ti adʔalš.,Where is your brother? (Asked of a woman.),
sqa dʔalš,"my older sister, my female cousin of my parent's older sibling",
ʔəbilʼəxʷ diɬ kʷši dʔalalš kʷi ʔupədᶻatuɬ.,Perhaps it is my brothers who are duck hunting.,
ʔaɬ tə dsətəlawil.,I'm running fast.,
ʔaɬ ti sətəlawils.,He can run fast.,
ʔaɬ ti dsutəlawil čəda ʔuɬaqʼ.,I was running fast and I fell.,
ʔaɬ ti dsutəlawil ʔal ti sqʼaxʷ čəda ʔuqʷcabšəd čəda ʔuɬaqʼ.,I was running fast on the ice and I slipped and I fell.,
ʔaɬ kʷi adshuyud.,Do it fast!,
x̌ʷulʼəxʷ dᶻəɬ ʔaɬ kʷi gʷədsƛ'ax̌ʷ.,I wish I'd grow fast.,
ʔəbilʼəxʷ ʔaɬ kʷi gʷədsəʔibəš čəda gʷəɬaʔ ʔal kʷi dukʷəɬdat.,"If I walk fast, I'll get there tomorrow.",
ɬuʔux̌ʷ čəxʷ ʔə kʷi ʔaɬ.,You go quickly.,
huyucut ɬi ʔə kʷi ʔaɬ.,"Do it quickly, you folks.",
ʔəƛ' tiʔəʔ ləʔaɬ.,He was coming fast.,
hikʷ ləʔaɬ.,He was (moving) very fast.,
ƛ'uadəxʷəsʔaɬcut,What are you in a hurry about?,
xʷiʔ gʷədsəsʔaɬcut.,I'm not in a hurry.,
ʔaɬcut. ʔaɬcut. ʔəsʔaʔs ti adscapaʔ.,Hurry! Hurry! Your grandfather is waiting.,
xʷiʔ bələʔaɬšubicid.,Don't speed!,
ʔaɬaɬəxʷ.,Hurry up.,
lədxʷʔaɬx̌ad čəd.,I'm going downstream.,
dxʷʔaɬx̌ad,go downstream,
ʔaɬx̌aducid ʔə dxʷqəlb,downstream from the mouth of the Baker River,
ləcuʔibʔibəš ʔaɬx̌aducid ʔə tiʔəʔ dxʷqəlb.,He was journeying below the mouth of the Baker River.,
ʔasus gʷasʔistəʔ,Sure she would do that.,
ʔašəxʷ xʷiʔ ləhaʔɬ.,"Oh my, you good for nothing.",
ʔuʔatəbəd.,He died.,
gʷuʔatəbəd,if he had died,
stab tiʔəʔ dəxʷuʔatəbəds əlgʷəʔ.,What is causing them to die.,
diɬ tsiʔəʔ ƛ'ustab tsiʔəʔ dəxʷəʔatəbəds əlgʷəʔ.,This is what was causing them to die.,
tiʔiɬ dəxʷuʔatəbəds əlgʷəʔ.,the cause of their dying,
ɬuʔax̌ʷuʔ čəd.,I will go clamming.,
ɬuʔax̌ʷuʔb čəd,I will go clamming.,
ɬuʔax̌ʷuʔiluɬ čəd.,I will go for clams.,
ƛ'ux̌əɬ ti gʷəsʔax̌ʷuʔ,sort of like clams,
stabaɬ sʔax̌ʷuʔ.,What kind of clam is it?,
"hay tsi siʔab, hay ʔay.","Oh, Noble Lady! Oh my!",
ʔayi!.,Good grief!,
tuqʼʷuʔəd əlgʷəʔ gʷəl ƛ'uʔayild əlgʷəʔ.,They gathered it and cached it.,
"gʷəl huy, ʔix̌ʷičtəbəxʷ tiʔəʔ qʷiqʷqʷistayʼbixʷ ʔə tiʔəʔ diɬiɬ tiʔəʔ ƛ'əsuc̕uqʷəbs ƛ'əsuʔayʼgʷasabacəb ʔə tiʔiɬ st'uʔqʼʷ.",And then they threw (down) on these dwarfs these particular quills (from) the feathers they have exchanged on their bodies (from their molting).,
hiwil. ʔayʼwaʔsəd.,Go change it.,
ʔayʼwaʔsiʔld tiʔəʔ bədaʔs.,She changed her child.,
ɬuʔayʼwaʔsalic̕aʔəb čəd,I'm going to change my clothes.,
gʷəhawʼəʔ bədiɬ tiʔəʔ tux̌ʷ ƛ'uɬawʼt ƛ'usʔəƛ' ʔə tiʔiɬ c̕uqʷəb ʔə tə st'uʔqʼʷ ʔayʼwaʔsabacəbəs tiʔiɬ.,Indeed it was just these that are new (when) the quills of the feathers come when they (the ducks) molt.,
ʔayʼgʷas ti pastəducid dxʷʔal dxʷləšucid,Change the English into Lushootseed.,
ʔayʼəds,his brother,
tsi dʔayʼəd,my (female) friend,
ʔudᶻubutəb čəd ʔə ti stiqʼiw.,The horse kicked me.,
qʼʷəlb tsiʔiɬ sɬadəyʔ ʔə tiʔəʔ biac,The woman cooked the meat.,
ʔupusud čəd ʔə tə č'ƛ'aʔ.,I hit him with a rock; I threw at him with a rock.,
šuucbicut ʔə kʷi haʔɬ.,Look after yourself well.,
ti stiqʼiw ʔə tiʔiɬ stubš,that man's horse,
ləqʼʷup̕qʼʷup̕ačiʔ ʔə tiʔəʔ sčətxʷəd.,Bear's hands shriveled right up.,
ʔəbilʼəxʷ čəxʷ ɬubəyayus ʔə kʷi shuyud ʔə tiʔiɬ t'iyuʔsəd. gʷəkʷaxʷac čəxʷ ʔu dxʷʔal kʷi gʷədsƛ'alʼ bəuhuyud kʷi sʔistəʔ.,"If you are going to continue working at making that smelt trap, would you help me so I can also make (one) likewise.",
"ʔəbilʼəxʷ xʷiʔ kʷi ɬuadsx̌ʷubil, ƛ'ubəxʷ čəxʷ ʔulilcut.","If you won't shut up, you had better go away.",
ʔəbilʼ čəxʷ bət'aqʼt ʔal ti swatixʷtəd.,Perhaps you will go up again in that place.,
ʔəbilʼəxʷ čəd həlaʔb gʷətuasx̌əɬ gʷəl xʷiʔ gʷəstudsɬčil.,"If I had been real sick, I wouldn't have come.",
ʔəbilʼ diɬ tiʔiɬ bəstab.,Maybe it could be that.,
ʔəbilʼ čəxʷ ɬušudxʷ tiʔiɬ ɬələgʷax̌ʷ.,Perhaps you will see them when they travel.,
ʔəbilʼəxʷ əlgʷəʔ ƛ'uʔəx̌id gʷəl ƛ'uƛ'əladiʔ əlgʷəʔ.,"Whenever there is anything wrong with them, they make noise.",
ʔəbilʼəxʷ ləƛ'iq kʷi sup̕qs,whenever a hair seal emerged,
stab ʔəbilʼ,whatever,
diɬ stab adsɬilc. ʔəbilʼ qʷuʔ. ʔəbilʼ sqəbuʔ.,Give me something to drink. Either water or milk.,
"diɬ stab. ʔəbilʼ biac, ʔəbilʼ ɬawʼt sʔuladxʷ.",Everything (was cooked like that) whether meat or fresh salmon.,
ɬilc ʔə kʷi qʷuʔ ʔəbilʼəs xʷiʔ kʷi sqəbuʔ.,"Give me some water, if there is no milk.",
"ɬilc ʔə kʷi qʷuʔ, ʔəbilʼəs gʷəl bəasqəbuʔ",Give me either water or milk.,
"ʔəbilʼəs gʷəl diɬ ti stubš gʷəl diɬ ʔu ti bədaʔs, tuɬčil.",It was either that man or was it his son who came.,
ʔəbilʼəs čəda ɬušudxʷ.,I might see him.,
ʔəca kʷi ɬukʷədatəb.,I am the one who will be taken.,
ʔəca ti hədi.,"It's me, Henry.",
diɬ ʔəca ti haydxʷ.,I am the one who knows it.,
dəb ʔəca tiʔiɬ ƛ'əx̌əɬqid.,I'm the one who gets the headache (not you).,
ʔəca gʷəl sduhubš,I am Snohomish.,
gʷəl ʔəbilʼəxʷ x̌ʷəlʼ dxʷɬəqʼ gʷəl diɬ sx̌ʷulʼs ʔuʔəč'təb tiʔəʔ diʔəʔ. x̌ʷulʼ ʔuʔəč'təb tiʔəʔ ʔuʔistəʔtəb ʔə ti gʷəl ləpəš lilil tadiʔ čəx̌.,"And if it is just in one direction then it will just be pulled out, this one. As they pull it out that which they pull out, then it just unfastened.",
ʔədaʔ,Come on!,
ʔədab tiʔiɬ səshuyutəbs.,They had it fixed separately.,
stab ti adsudxʷʔəhadəd.,What are you really talking about?,
ckʼʷaqid ʔalc̕udxʷʔəhadədbid,She's always talking about her people.,
ʔəliqs tsi xʷiʔ ləhaʔɬ sqigʷəc,the likes of the common deer,
ʔaliqsəxʷ čəd ɬuasʔatəbəd.,even if I should die,
cukʷ haʔɬ spaʔc ʔ̌əɬ ʔəsʔatəbədəs,Only is a bear good when it's dead.,
lətəlawil tə hupt ʔəɬ ti spuʔəlikʷ,The deer runs like the wind.,
ɬuʔəɬəd čəd ʔə tiʔəʔ sʔuladxʷ.,I intend to eat this salmon.,
ləsʔəɬəd čəd.,I've eaten.,
ʔuʔəɬəd tə busbus ʔə tə sax̌ʷil.,The bovine ate the grass.,
sax̌ʷil tə suʔələd ʔə tə busbus.,The bovine ate the grass.,
sax̌ʷil tə suʔəɬəds.,It ate the grass.,
xʷiʔ kʷi stab gʷətusuʔəɬəds.,They had had nothing to eat.,
